2024-03-03 11:42:50,444 - INFO - torch_version:2.1.1+cpu
2024-03-03 11:42:51,787 - DEBUG - Epoch 32 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.6970])), ('gpr_list.0.kernel.length_scale', tensor([0.6529])), ('gpr_list.0.kernel.signal_variance', tensor([1.1251])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.]))])
2024-03-03 11:42:51,798 - DEBUG - Epoch 33 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.6886])), ('gpr_list.0.kernel.length_scale', tensor([0.6402])), ('gpr_list.0.kernel.signal_variance', tensor([1.1385])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.]))])
2024-03-03 11:42:51,809 - DEBUG - Epoch 34 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.6802])), ('gpr_list.0.kernel.length_scale', tensor([0.6273])), ('gpr_list.0.kernel.signal_variance', tensor([1.1521])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.]))])
2024-03-03 11:42:51,819 - DEBUG - Epoch 35 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.6720])), ('gpr_list.0.kernel.length_scale', tensor([0.6142])), ('gpr_list.0.kernel.signal_variance', tensor([1.1659])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.]))])
2024-03-03 11:42:51,830 - DEBUG - Epoch 36 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.6638])), ('gpr_list.0.kernel.length_scale', tensor([0.6011])), ('gpr_list.0.kernel.signal_variance', tensor([1.1797])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.]))])
2024-03-03 11:42:51,840 - DEBUG - Epoch 37 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.6558])), ('gpr_list.0.kernel.length_scale', tensor([0.5878])), ('gpr_list.0.kernel.signal_variance', tensor([1.1938])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.]))])
2024-03-03 11:42:51,852 - DEBUG - Epoch 38 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.6478])), ('gpr_list.0.kernel.length_scale', tensor([0.5744])), ('gpr_list.0.kernel.signal_variance', tensor([1.2080])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.]))])
2024-03-03 11:42:51,862 - DEBUG - Epoch 39 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.6399])), ('gpr_list.0.kernel.length_scale', tensor([0.5609])), ('gpr_list.0.kernel.signal_variance', tensor([1.2222])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.]))])
2024-03-03 11:42:51,872 - DEBUG - Epoch 40 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.6321])), ('gpr_list.0.kernel.length_scale', tensor([0.5474])), ('gpr_list.0.kernel.signal_variance', tensor([1.2366])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.]))])
2024-03-03 11:42:51,882 - DEBUG - Epoch 41 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.6244])), ('gpr_list.0.kernel.length_scale', tensor([0.5338])), ('gpr_list.0.kernel.signal_variance', tensor([1.2511])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.]))])
